date,equity,cash,position_value,position,shares
2021-04-09,113860.35490228844,141.26679804039304,113719.08810424805,XRT,1326
2021-04-12,114427.64196588707,141.26679804039304,114286.37516784668,XRT,1326
2021-04-13,113564.36408807946,141.26679804039304,113423.09729003906,XRT,1326
2021-04-14,113848.0025615902,141.26679804039304,113706.7357635498,XRT,1326
2021-04-15,114217.98602106285,141.26679804039304,114076.71922302246,XRT,1326
2021-04-16,114513.96671869469,141.26679804039304,114372.6999206543,XRT,1326
2021-04-19,113120.40821649742,141.26679804039304,112979.14141845703,XRT,1326
2021-04-20,110579.86254694176,141.26679804039304,110438.59574890137,XRT,1326
2021-04-21,112503.73202326012,141.26679804039304,112362.46522521973,XRT,1326
2021-04-22,112466.75593378258,141.26679804039304,112325.48913574219,XRT,1326
2021-04-23,115179.94099237633,141.26679804039304,115038.67419433594,XRT,1326
2021-04-26,114341.31721307946,141.26679804039304,114200.05041503906,XRT,1326
2021-04-27,115821.24093439293,141.26679804039304,115679.97413635254,XRT,1326
2021-04-28,116302.20324518395,141.26679804039304,116160.93644714355,XRT,1326
2021-04-29,116141.87573053551,141.26679804039304,116000.60893249512,XRT,1326
2021-04-30,114612.62357904625,141.26679804039304,114471.35678100586,XRT,1326
2021-05-03,117029.83805658531,141.26679804039304,116888.57125854492,XRT,1326
2021-05-04,115944.56200983239,141.26679804039304,115803.29521179199,XRT,1326
2021-05-05,115969.20599176598,141.26679804039304,115827.93919372559,XRT,1326
2021-05-06,116265.17657282067,141.26679804039304,116123.90977478027,XRT,1326
2021-05-07,117535.47469904137,141.26679804039304,117394.20790100098,XRT,1326
2021-05-10,115574.56843378258,141.26679804039304,115433.30163574219,XRT,1326
2021-05-11,114513.96671869469,141.26679804039304,114372.6999206543,XRT,1326
2021-05-12,108853.29667474938,141.26679804039304,108712.02987670898,XRT,1326
2021-05-13,110592.1946544857,141.26679804039304,110450.92785644531,XRT,1326
2021-05-14,115352.60061456871,141.26679804039304,115211.33381652832,XRT,1326
2021-05-17,116672.1664715023,141.26679804039304,116530.89967346191,XRT,1326
2021-05-18,115475.92169000817,141.26679804039304,115334.65489196777,XRT,1326
2021-05-19,112775.06873895836,141.26679804039304,112633.80194091797,XRT,1326
2021-05-20,112294.0963115902,141.26679804039304,112152.8295135498,XRT,1326
2021-05-21,112405.05492975426,141.26679804039304,112263.78813171387,XRT,1326
2021-05-24,112692.32340312767,112692.32340312767,0.0,TIPX,0
2021-05-25,112692.32340312767,112692.32340312767,0.0,TIPX,0
2021-05-26,112692.32340312767,112692.32340312767,0.0,TIPX,0
2021-05-27,112692.32340312767,112692.32340312767,0.0,TIPX,0
2021-05-28,112692.32340312767,112692.32340312767,0.0,TIPX,0
