date,equity,cash,position_value,position,shares
2019-03-06,107080.6698870211,111.18172021201462,106969.48816680908,IGV,2662
2019-03-07,106906.10002465537,111.18172021201462,106794.91830444336,IGV,2662
2019-03-08,106837.33223290733,111.18172021201462,106726.15051269531,IGV,2662
2019-03-11,108852.92311425498,111.18172021201462,108741.74139404297,IGV,2662
2019-03-12,109244.40803857139,111.18172021201462,109133.22631835938,IGV,2662
2019-03-13,109900.40321679405,111.18172021201462,109789.22149658203,IGV,2662
2019-03-14,110328.91226525596,111.18172021201462,110217.73054504395,IGV,2662
2019-03-15,110381.81837792686,111.18172021201462,110270.63665771484,IGV,2662
2019-03-18,110820.9289583712,111.18172021201462,110709.74723815918,IGV,2662
2019-03-19,111461.04214806846,111.18172021201462,111349.86042785645,IGV,2662
2019-03-20,111027.23233361533,111.18172021201462,110916.05061340332,IGV,2662
2019-03-21,113672.37549157432,111.18172021201462,113561.1937713623,IGV,2662
2019-03-22,110323.62165398887,111.18172021201462,110212.43993377686,IGV,2662
2019-03-25,110387.10898919395,111.18172021201462,110275.92726898193,IGV,2662
2019-03-26,111032.5127901583,111.18172021201462,110921.33106994629,IGV,2662
2019-03-27,109493.06676812461,111.18172021201462,109381.8850479126,IGV,2662
2019-03-28,110313.04043145469,111.18172021201462,110201.85871124268,IGV,2662
2019-03-29,111640.90262170127,111.18172021201462,111529.72090148926,IGV,2662
2019-04-01,113159.21666283897,111.18172021201462,113048.03494262695,IGV,2662
2019-04-02,113233.2750658541,111.18172021201462,113122.09334564209,IGV,2662
2019-04-03,113735.85267205528,111.18172021201462,113624.67095184326,IGV,2662
2019-04-04,111545.67161889366,111.18172021201462,111434.48989868164,IGV,2662
2019-04-05,112090.58426995567,111.18172021201462,111979.40254974365,IGV,2662
2019-04-08,112212.25817437461,111.18172021201462,112101.0764541626,IGV,2662
2019-04-09,112148.76068444541,111.18172021201462,112037.5789642334,IGV,2662
2019-04-10,113444.88936181358,111.18172021201462,113333.70764160156,IGV,2662
2019-04-11,113704.10900445274,111.18172021201462,113592.92728424072,IGV,2662
2019-04-12,114042.69797082237,111.18172021201462,113931.51625061035,IGV,2662
2019-04-15,113852.23596520713,111.18172021201462,113741.05424499512,IGV,2662
2019-04-16,113196.24078698448,111.18172021201462,113085.05906677246,IGV,2662
2019-04-17,112048.26953454307,111.18172021201462,111937.08781433105,IGV,2662
2019-04-18,112196.37618584922,111.18172021201462,112085.1944656372,IGV,2662
2019-04-22,113317.91469140342,111.18172021201462,113206.7329711914,IGV,2662
2019-04-23,115090.16791863731,111.18172021201462,114978.9861984253,IGV,2662
2019-04-24,114915.58790154746,111.18172021201462,114804.40618133545,IGV,2662
2019-04-25,115920.76342339805,111.18172021201462,115809.58170318604,IGV,2662
2019-04-26,116857.12037987998,111.18172021201462,116745.93865966797,IGV,2662
2019-04-29,117121.64078851035,111.18172021201462,117010.45906829834,IGV,2662
2019-04-30,117491.9632677584,111.18172021201462,117380.78154754639,IGV,2662
2019-05-01,115650.94224877647,111.18172021201462,115539.76052856445,IGV,2662
2019-05-02,115254.1768679171,111.18172021201462,115142.99514770508,IGV,2662
2019-05-03,116407.45904107383,111.18172021201462,116296.27732086182,IGV,2662
2019-05-06,116291.07574792198,111.18172021201462,116179.89402770996,IGV,2662
2019-05-07,113656.51381249717,111.18172021201462,113545.33209228516,IGV,2662
2019-05-08,113624.77014489463,111.18172021201462,113513.58842468262,IGV,2662
2019-05-09,113487.2142519503,111.18172021201462,113376.03253173828,IGV,2662
2019-05-10,114164.37187524131,111.18172021201462,114053.1901550293,IGV,2662
2019-05-13,109826.33465905479,111.18172021201462,109715.15293884277,IGV,2662
2019-05-14,112243.99168725303,111.18172021201462,112132.80996704102,IGV,2662
2019-05-15,113349.66851373008,111.18172021201462,113238.48679351807,IGV,2662
2019-05-16,115603.31659264854,111.18172021201462,115492.13487243652,IGV,2662
2019-05-17,114296.62700219444,111.18172021201462,114185.44528198242,IGV,2662
2019-05-20,112286.32673211387,111.18172021201462,112175.14501190186,IGV,2662
