date,equity,cash,position_value,position,shares
2019-11-22,210497.59392617035,232.59003517913516,210265.0038909912,PSX,2290
2019-11-25,208316.14319680023,232.59003517913516,208083.5531616211,PSX,2290
2019-11-26,206351.09215615081,232.59003517913516,206118.50212097168,PSX,2290
2019-11-27,207000.09903786468,232.59003517913516,206767.50900268555,PSX,2290
2019-11-29,207054.2076957016,232.59003517913516,206821.61766052246,PSX,2290
2019-12-02,206351.09215615081,232.59003517913516,206118.50212097168,PSX,2290
2019-12-03,203502.58667824554,232.59003517913516,203269.9966430664,PSX,2290
2019-12-04,203178.03955910492,232.59003517913516,202945.44952392578,PSX,2290
2019-12-05,203123.98331520843,232.59003517913516,202891.3932800293,PSX,2290
2019-12-06,204962.89147255706,232.59003517913516,204730.30143737793,PSX,2290
2019-12-09,202078.36014626312,232.59003517913516,201845.77011108398,PSX,2290
2019-12-10,202024.26895973968,232.59003517913516,201791.67892456055,PSX,2290
2019-12-11,202529.08509133148,232.59003517913516,202296.49505615234,PSX,2290
2019-12-12,205269.33831093597,232.59003517913516,205036.74827575684,PSX,2290
2019-12-13,203935.21134255218,232.59003517913516,203702.62130737305,PSX,2290
2019-12-16,206008.54958412933,232.59003517913516,205775.9595489502,PSX,2290
2019-12-17,204007.38533852386,232.59003517913516,203774.79530334473,PSX,2290
2019-12-18,204025.3982627182,232.59003517913516,203792.80822753906,PSX,2290
2019-12-19,203610.73410866546,232.59003517913516,203378.14407348633,PSX,2290
2019-12-20,204584.28810951996,232.59003517913516,204351.69807434082,PSX,2290
2019-12-23,203358.34351418304,232.59003517913516,203125.7534790039,PSX,2290
2019-12-24,204313.83217690277,232.59003517913516,204081.24214172363,PSX,2290
2019-12-26,202258.64663002777,232.59003517913516,202026.05659484863,PSX,2290
2019-12-27,199626.4709555893,232.59003517913516,199393.88092041016,PSX,2290
2019-12-30,199211.82427285003,232.59003517913516,198979.2342376709,PSX,2290
2019-12-31,201086.84563515472,232.59003517913516,200854.2555999756,PSX,2290
2020-01-02,202511.0197531967,232.59003517913516,202278.42971801758,PSX,2290
2020-01-03,195822.4768149643,232.59003517913516,195589.88677978516,PSX,2290
2020-01-06,194596.54969094085,232.59003517913516,194363.95965576172,PSX,2290
2020-01-07,195191.5178000717,232.59003517913516,194958.92776489258,PSX,2290
2020-01-08,187908.0242240219,232.59003517913516,187675.43418884277,PSX,2290
2020-01-09,190648.3473288803,232.59003517913516,190415.75729370117,PSX,2290
2020-01-10,189296.22490761566,232.59003517913516,189063.63487243652,PSX,2290
2020-01-13,190071.4620291977,232.59003517913516,189838.87199401855,PSX,2290
2020-01-14,192018.51761696624,232.59003517913516,191785.9275817871,PSX,2290
2020-01-15,189332.30316994476,232.59003517913516,189099.71313476562,PSX,2290
2020-01-16,187349.20426247406,232.59003517913516,187116.61422729492,PSX,2290
2020-01-17,186483.7976920395,232.59003517913516,186251.20765686035,PSX,2290
2020-01-21,184735.02404091644,232.59003517913516,184502.4340057373,PSX,2290
2020-01-22,183869.68735573578,232.59003517913516,183637.09732055664,PSX,2290
2020-01-23,184266.30364296722,232.59003517913516,184033.7136077881,PSX,2290
2020-01-24,181093.32093117523,232.59003517913516,180860.7308959961,PSX,2290
2020-01-27,174963.6503684311,232.59003517913516,174731.06033325195,PSX,2290
2020-01-28,174549.00368569183,232.59003517913516,174316.4136505127,PSX,2290
2020-01-29,172944.47319863128,232.59003517913516,172711.88316345215,PSX,2290
2020-01-30,174044.23996804046,232.59003517913516,173811.64993286133,PSX,2290
2020-01-31,164957.89902565765,232.59003517913516,164725.30899047852,PSX,2290
2020-02-03,160631.11077187347,232.59003517913516,160398.52073669434,PSX,2290
2020-02-04,160180.4032981186,232.59003517913516,159947.81326293945,PSX,2290
2020-02-05,167247.51465676117,232.59003517913516,167014.92462158203,PSX,2290
2020-02-06,162884.64814064789,232.59003517913516,162652.05810546875,PSX,2290
2020-02-07,163082.94754860687,232.59003517913516,162850.35751342773,PSX,2290
2020-02-10,162956.76972267914,232.59003517913516,162724.1796875,PSX,2290
2020-02-11,162974.76517556,232.59003517913516,162742.17514038086,PSX,2290
2020-02-12,164543.28728554535,232.59003517913516,164310.6972503662,PSX,2290
2020-02-13,163101.01288674164,232.59003517913516,162868.4228515625,PSX,2290
2020-02-14,163155.59327004242,232.59003517913516,162923.00323486328,PSX,2290
2020-02-18,160478.77838967132,232.59003517913516,160246.1883544922,PSX,2290
2020-02-19,161134.31954262542,232.59003517913516,160901.7295074463,PSX,2290
2020-02-20,164466.72798989105,232.59003517913516,164234.1379547119,PSX,2290
2020-02-21,162755.0109946518,232.59003517913516,162522.42095947266,PSX,2290
2020-02-24,157856.52642128753,232.59003517913516,157623.9363861084,PSX,2290
2020-02-25,151027.89849160003,232.59003517913516,150795.3084564209,PSX,2290
2020-02-26,146511.8347632675,232.59003517913516,146279.24472808838,PSX,2290
2020-02-27,135458.52093575287,232.59003517913516,135225.93090057373,PSX,2290
2020-02-28,136551.07205269623,232.59003517913516,136318.4820175171,PSX,2290
2020-03-02,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-03,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-04,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-05,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-06,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-09,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-10,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-11,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-12,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-13,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-16,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-17,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-18,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-19,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-20,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-23,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-24,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-25,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-26,136801.19636011886,136801.19636011886,0.0,GLD,0
2020-03-27,136801.19636011886,136801.19636011886,0.0,GLD,0
