date,action,symbol,shares,price,value,cost,cash_after
2019-03-01,BUY,INDA,1366,29.89524269104004,40836.90151596069,61.25535227394104,67.26143873407273
2019-04-01,SELL,INDA,1366,32.69562530517578,44662.22416687012,66.99333625030518,44662.49226935388
2019-04-01,BUY,EWZ,1602,27.801753997802734,44538.40990447998,66.80761485671998,57.27475001718267
2019-11-01,SELL,EWZ,1602,30.371782302856445,48655.595249176025,72.98339287376403,48639.886606319444
2019-11-01,BUY,EWT,1816,26.712799072265625,48510.443115234375,72.76566467285156,56.677826412218565
2020-03-02,SELL,EWT,1816,27.003454208374023,49038.27284240723,73.55740926361084,49021.393259555836
2020-05-01,BUY,MCHI,944,51.780677795410156,48880.95983886719,73.32143975830078,67.11198093034909
2020-06-01,SELL,MCHI,944,55.71202850341797,52592.15490722656,78.88823236083985,52580.37865579607
2020-06-01,BUY,EWT,1989,26.368982315063477,52447.905824661255,78.67185873699188,53.80097239782481
2020-09-01,SELL,EWT,1989,31.096155166625977,61850.25262641907,92.77537893962861,61811.27821987726
2020-09-01,BUY,MCHI,884,69.67684173583984,61594.32809448242,92.39149214172363,124.55863325311657
2021-02-01,SELL,MCHI,884,81.7840805053711,72297.12716674805,108.44569075012208,72313.24010925106
2021-02-01,BUY,EWY,854,84.42356872558594,72097.72769165039,108.14659153747559,107.3658260631928
2021-07-01,SELL,EWY,854,85.27074432373047,72821.21565246582,109.23182347869874,72819.34965505032
2021-07-01,BUY,EWT,1601,45.36276626586914,72625.7887916565,108.93868318748474,84.62218020633736
2021-08-02,SELL,EWT,1601,45.28462219238281,72500.68013000488,108.75102019500733,72476.55129001621
2021-08-02,BUY,EWZ,2687,26.903141021728516,72288.73992538452,108.43310988807679,79.37825474361307
2021-10-01,SELL,EWZ,2687,23.407575607299805,62896.155656814575,94.34423348522186,62881.189678072966
2021-10-01,BUY,INDA,1369,45.78461837768555,62679.142559051514,94.01871383857727,108.02840518287121
2022-01-03,SELL,INDA,1369,46.15788650512695,63190.1466255188,94.7852199382782,63203.389810763394
2022-01-03,BUY,EWT,1286,49.01146697998047,63028.74653625488,94.54311980438233,80.10015470413055
2022-02-01,SELL,EWT,1286,47.530250549316406,61123.9022064209,91.68585330963136,61112.3165078154
2022-02-01,BUY,ILF,3028,20.125436782836914,60939.822578430176,91.40973386764526,81.08419551757834
2022-03-01,SELL,ILF,3028,20.861356735229492,63168.1881942749,94.75228229141236,63154.52010750107
2022-03-01,BUY,EWZ,2516,25.036874771118164,62992.7769241333,94.48916538619996,67.25401798156963
2022-06-01,SELL,EWZ,2516,26.711071014404297,67205.05467224121,100.80758200836183,67171.50110821442
2022-06-01,BUY,EWH,3464,19.341684341430664,66999.59455871582,100.49939183807373,71.40715766052017
2022-07-01,SELL,EWH,3464,19.703205108642578,68251.90249633789,102.37785374450684,68220.93180025391
2022-07-01,BUY,MCHI,1322,51.451133728027344,68018.39878845215,102.02759818267822,100.5054136190738
2022-09-01,SELL,MCHI,1322,45.35956573486328,59965.34590148926,89.94801885223389,59975.903296256096
2022-09-01,BUY,EWZ,2465,24.265165328979492,59813.63253593445,89.72044880390168,72.55031151774892
2023-03-01,SELL,EWZ,2465,23.533267974853516,58009.505558013916,87.01425833702088,57995.04161119465
2023-03-01,BUY,ILF,2740,21.10741424560547,57834.315032958984,86.75147254943847,73.97510568622238
2023-10-02,SELL,ILF,2740,22.276384353637695,61037.293128967285,91.55593969345092,61019.71229496006
2023-10-02,BUY,INDA,1386,43.892452239990234,60834.938804626465,91.2524082069397,93.52108212665189
2023-11-01,SELL,INDA,1386,43.08827209472656,59720.345123291016,89.58051768493652,59724.28568773273
2023-11-01,BUY,EWT,1572,37.89616394042969,59572.76971435547,89.35915457153321,62.15681880572811
2023-12-01,SELL,EWT,1572,42.18142318725586,66309.19725036621,99.46379587554932,66271.89027329639
2023-12-01,BUY,EWZ,2189,30.193927764892578,66094.50787734985,99.14176181602478,78.24063413051772
2024-04-01,SELL,EWZ,2189,28.91187286376953,63288.089698791504,94.93213454818725,63271.398198373834
2024-04-01,BUY,EWT,1334,47.2799186706543,63071.41150665283,94.60711725997925,105.37957446102519
2024-05-01,SELL,EWT,1334,45.430171966552734,60603.84940338135,90.90577410507203,60618.3232037373
2024-05-01,BUY,FXI,2431,24.87004852294922,60459.08795928955,90.68863193893434,68.54661250881327
2024-07-01,SELL,FXI,2431,25.33794593811035,61596.546575546265,92.3948198633194,61572.698368191755
2024-07-01,BUY,EWT,1173,52.344932556152344,61400.6058883667,92.10090883255005,79.99157099250442
2024-08-01,SELL,EWT,1173,50.10780715942383,58776.45779800415,88.16468669700623,58768.28468229965
2024-08-01,BUY,INDA,1039,56.38209533691406,58580.99705505371,87.87149558258056,99.41613166336174
2024-09-03,SELL,INDA,1039,56.86857223510742,59086.44655227661,88.62966982841492,59097.23301411156
2024-09-03,BUY,EWZ,2138,27.567169189453125,58938.60772705078,88.40791159057616,70.21737547020166
2024-10-01,SELL,EWZ,2138,27.689149856567383,59199.402393341064,88.7991035900116,59180.820665221254
2024-10-01,BUY,EWH,3226,18.297990798950195,59029.31831741333,88.54397747612,62.95837033180578
2024-11-01,SELL,EWH,3226,17.281436920166016,55749.91550445557,83.62487325668334,55729.24900153069
2024-11-01,BUY,FXI,1806,30.778610229492188,55586.17007446289,83.37925511169433,59.69967195610661
2024-12-02,SELL,FXI,1806,29.505884170532227,53287.6268119812,79.93144021797181,53267.395043719334
2024-12-02,BUY,EWT,1012,52.48051452636719,53110.280700683594,79.66542105102539,77.44892198471643
