date,action,bucket,symbol,shares,price,value,cost,cash_after
2010-06-01,BUY,AI_US_Large_Cap,VNQ,2250,26.336286544799805,59256.64472579956,88.88496708869934,39674.41416828726
2010-06-01,BUY,AI_Global_Developed,EWA,1608,9.843754768371582,15828.757667541504,23.743136501312257,23821.913364244443
2010-07-01,SELL,AI_US_Large_Cap,VNQ,2250,25.406204223632812,57163.95950317383,85.74593925476074,80900.12692816352
2010-07-01,SELL,AI_Global_Developed,EWA,1608,9.689539909362793,15580.780174255371,23.371170261383057,96457.53593215751
2010-10-01,BUY,AI_US_Large_Cap,VNQ,1993,28.960268020629883,57717.81416511536,86.57672124767304,38653.14504579448
2010-10-01,BUY,AI_Global_Developed,EWC,751,20.532136917114258,15419.634824752808,23.129452237129215,23210.38076880454
2010-11-01,SELL,AI_US_Large_Cap,VNQ,1993,30.443147659301758,60673.1932849884,91.00978992748261,83792.56426386547
2010-11-01,SELL,AI_Global_Developed,EWC,751,21.039461135864258,15800.635313034058,23.700952969551086,99569.49862392998
2010-11-01,BUY,AI_US_Large_Cap,VNQ,1957,30.443147659301758,59577.23996925354,89.36585995388032,39902.89279472255
2010-11-01,BUY,AI_Global_Developed,EWC,756,21.039461135864258,15905.832618713379,23.85874892807007,23973.201427081105
2010-12-01,SELL,AI_US_Large_Cap,VNQ,1957,29.79576873779297,58310.31941986084,87.46547912979126,82196.05536781215
2010-12-01,SELL,AI_Global_Developed,EWC,756,21.77145767211914,16459.22200012207,24.68883300018311,98630.58853493404
2010-12-01,BUY,AI_US_Large_Cap,VNQ,1981,29.79576873779297,59025.41786956787,88.5381268043518,39516.63253856182
2010-12-01,BUY,AI_Global_Developed,EWC,724,21.77145767211914,15762.535354614258,23.643803031921387,23730.45338091564
2011-01-03,SELL,AI_US_Large_Cap,VNQ,1981,31.54851531982422,62497.60884857178,93.74641327285767,86134.31581621456
2011-01-03,SELL,AI_Global_Developed,EWC,724,22.889183044433594,16571.768524169922,24.85765278625488,102681.22668759822
2011-01-03,BUY,AI_US_Large_Cap,XLE,1473,41.69572830200195,61417.80778884888,92.12671168327331,41171.292187066065
2011-01-03,BUY,AI_Global_Developed,EWJ,475,34.553428649902344,16412.878608703613,24.619317913055422,24733.794260449395
2011-02-01,SELL,AI_US_Large_Cap,XLE,1473,45.079410552978516,66401.97174453735,99.60295761680602,91036.16304736995
2011-02-01,SELL,AI_Global_Developed,EWJ,475,34.99279022216797,16621.575355529785,24.932363033294678,107632.80603986644
2011-02-01,BUY,AI_US_Large_Cap,XLE,1428,45.079410552978516,64373.39826965332,96.56009740447999,43162.84767280864
2011-02-01,BUY,AI_Global_Developed,EWJ,492,34.99279022216797,17216.45278930664,25.824679183959958,25920.57020431804
2011-03-01,SELL,AI_US_Large_Cap,XLE,1428,46.734859466552734,66737.3793182373,100.10606897735596,92557.84345357798
2011-03-01,SELL,AI_Global_Developed,EWJ,492,36.12260818481445,17772.32322692871,26.65848484039307,110303.5081956663
2011-03-01,BUY,AI_US_Large_Cap,XLE,1412,46.734859466552734,65989.62156677246,98.98443235015868,44214.902196543684
2011-03-01,BUY,AI_Global_Developed,EWG,981,17.974817276000977,17633.295747756958,26.449943621635434,26555.15650516509
2011-04-01,SELL,AI_US_Large_Cap,XLE,1412,48.66884231567383,68720.40534973145,103.08060802459718,95172.48124687193
2011-04-01,SELL,AI_Global_Developed,EWG,981,18.55873680114746,18206.12080192566,27.30918120288849,113351.2928675947
2011-04-01,BUY,AI_US_Large_Cap,XLE,1393,48.66884231567383,67795.69734573364,101.69354601860047,45453.901975842455
2011-04-01,BUY,AI_Global_Developed,EWC,729,24.85215950012207,18117.22427558899,27.175836413383482,27309.501863840083
2011-05-02,SELL,AI_US_Large_Cap,XLE,1393,48.315948486328125,67304.11624145508,100.95617436218262,94512.66193093297
