date,action,bucket,symbol,shares,price,value,cost,cash_after
2017-08-01,SELL,AI_US_Sectors_Basic,XLV,292,69.37883758544922,20258.620574951172,30.38793086242676,19741.26627228882
2017-08-01,BUY,AI_US_Sectors_Basic,XLF,953,21.613332748413086,20597.50610923767,30.896259163856506,-887.1360961127066
2017-08-01,SELL,AI_Global_Developed,EWJ,435,47.93967056274414,20853.7566947937,31.280635042190553,19935.339963638806
2017-08-01,BUY,AI_Global_Developed,EWC,881,23.355247497558594,20575.97304534912,30.863959568023684,-671.4970412783405
2017-08-01,SELL,AI_Emerging_Markets,EWY,350,60.18651580810547,21065.280532836914,31.597920799255373,20362.185570759317
2017-08-01,BUY,AI_Emerging_Markets,EWZ,846,24.30352020263672,20560.778091430664,30.841167137145995,-229.43368780849414
2017-08-01,SELL,AI_Real_Assets,IYR,327,64.07989501953125,20954.12567138672,31.43118850708008,20693.260795071146
2017-08-01,BUY,AI_Real_Assets,XME,744,27.604991912841797,20538.113983154297,30.807170974731445,124.33964094211842
2017-09-01,SELL,AI_US_Sectors_Basic,XLF,953,21.18568229675293,20189.955228805542,30.28493284320831,20284.00993690445
2017-09-01,BUY,AI_US_Sectors_Basic,XLU,501,42.175540924072266,21129.946002960205,31.694919004440308,-877.6309850601938
2017-09-01,SELL,AI_Global_Developed,EWC,881,23.59022331237793,20782.986738204956,31.17448010730744,19874.181273037455
2017-09-01,BUY,AI_Global_Developed,EWA,1293,16.344451904296875,21133.37631225586,31.700064468383786,-1290.8951036867875
2017-09-01,SELL,AI_Real_Assets,XME,744,29.417343139648438,21886.503295898438,32.82975494384766,20562.778437267803
2017-09-01,BUY,AI_Real_Assets,GDX,930,22.700204849243164,21111.190509796143,31.66678576469421,-580.0788582930327
2017-10-02,SELL,AI_US_Sectors_Basic,XLU,501,41.209896087646484,20646.15793991089,30.969236909866332,20035.10984470799
2017-10-02,BUY,AI_US_Sectors_Basic,XLE,427,48.399253845214844,20666.48139190674,30.999722087860107,-662.3712692866102
2017-10-02,SELL,AI_Global_Developed,EWA,1293,16.143903732299805,20874.067525863647,31.31110128879547,20180.38515528824
2017-10-02,BUY,AI_Global_Developed,EWG,780,26.506366729736328,20674.966049194336,31.0124490737915,-525.5933429798861
2017-10-02,SELL,AI_Real_Assets,GDX,930,21.115402221679688,19637.32406616211,29.455986099243162,19082.27473708298
2017-10-02,BUY,AI_Real_Assets,XME,706,29.27597999572754,20668.841876983643,31.003262815475463,-1617.570402716141
2017-11-01,SELL,AI_US_Sectors_Basic,XLE,427,48.554779052734375,20732.890655517578,31.09933598327637,19084.22091681816
2017-11-01,BUY,AI_US_Sectors_Basic,XLK,352,58.04721450805664,20432.619506835938,30.648929260253908,-1379.0475192780286
2017-11-01,SELL,AI_Global_Developed,EWG,780,27.325725555419922,21314.06593322754,31.97109889984131,19903.04731504967
2017-11-01,BUY,AI_Global_Developed,EWJ,398,51.33409881591797,20430.97132873535,30.64645699310303,-558.5704706787837
2017-11-01,SELL,AI_Emerging_Markets,EWZ,846,25.438365936279297,21520.857582092285,32.28128637313843,20930.005825040364
2017-11-01,BUY,AI_Emerging_Markets,EWY,312,65.30987548828125,20376.68115234375,30.565021728515624,522.7596509680989
2017-12-01,SELL,AI_Real_Assets,XME,706,28.730358123779297,20283.632835388184,30.425449253082274,20775.9670371032
2017-12-01,BUY,AI_Real_Assets,IYR,312,65.50487518310547,20437.521057128906,30.656281585693364,307.7896983886021
2018-01-02,SELL,AI_US_Sectors_Basic,XLK,352,59.91086959838867,21088.626098632812,31.632939147949216,21364.782857873466
2018-01-02,BUY,AI_US_Sectors_Basic,XLF,864,24.090822219848633,20814.47039794922,31.221705596923826,519.0907543273242
2018-01-02,SELL,AI_Global_Developed,EWJ,398,52.82194137573242,21023.132667541504,31.534699001312255,21510.688722867515
2018-01-02,BUY,AI_Global_Developed,EWU,771,26.972370147705078,20795.697383880615,31.193546075820922,683.7977929110784
2018-01-02,SELL,AI_Emerging_Markets,EWY,312,66.93071746826172,20882.383850097656,31.323575775146487,21534.85806723359
2018-01-02,BUY,AI_Emerging_Markets,EEM,512,40.555484771728516,20764.408203125,31.1466123046875,739.3032518038999
2018-01-02,SELL,AI_Real_Assets,IYR,312,64.97412109375,20271.92578125,30.407888671875,20980.821144382026
2018-01-02,BUY,AI_Real_Assets,XME,611,33.994140625,20770.419921875,31.155629882812498,179.24559262421462
2018-02-01,SELL,AI_US_Sectors_Basic,XLF,864,25.90280532836914,22380.023803710938,33.570035705566404,22525.699360629587
